DT_GERACAO;HH_GERACAO;ANO_ELEICAO;DS_IDENTIFICACAO_RECURSO;NR_RECURSO;DT_AUTUACAO;DT_BAIXA;NR_PROCESSO_ORIGEM;SG_UF_TRIBUNAL_ORIGEM;NR_INSTANCIA_ORIGEM;SG_UF_TRIBUNAL;NR_INSTANCIA;DT_DISTRIBUICAO;CD_TIPO_DISTRIBUICAO;DS_TIPO_DISTRIBUICAO;CD_RELATOR;NM_RELATOR;CD_TIPO_CARGO_RELATOR;DS_TIPO_CARGO_RELATOR;CD_CLASSE;SG_CLASSE;DS_CLASSE;CD_ASSUNTO_PRINCIPAL;DS_ASSUNTO_PRINCIPAL;DS_TIPO_RECURSO;DS_NATUREZA_RECURSO;ST_CONCLUSO;QT_DECISOES;DT_ULTIMA_DECISAO;DS_ULTIMA_DECISAO
03/12/2023;05:05:43;2022;Processo;64406709;20/08/2022;;0604096-11.2022.6.26.0000;SP;26;SP;2;08/11/2023;;;8;Gabinete do Jurista II;13;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;12637;Propaganda Política - Propaganda Eleitoral - Redes Sociais;Embargos de Declaração;Interno;0;5;15-SEP-22;
03/12/2023;05:05:43;2022;Processo;65458483;22/11/2022;24/10/2023;0608535-65.2022.6.26.0000;SP;26;SP;2;10/04/2023;;;6;Gabinete do Jurista I;11;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Recurso;Interno;0;4;05-OCT-23;
03/12/2023;05:05:43;2022;Processo;65458484;22/11/2022;24/10/2023;0608535-65.2022.6.26.0000;SP;26;SP;2;10/04/2023;;;6;Gabinete do Jurista I;11;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Recurso;Interno;0;4;05-OCT-23;
03/12/2023;05:05:43;2022;Processo;65381133;22/11/2022;24/10/2023;0608535-65.2022.6.26.0000;SP;26;SP;2;10/04/2023;;;6;Gabinete do Jurista I;11;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Embargos de Declaração;Interno;0;4;05-OCT-23;
03/12/2023;05:05:43;2022;Processo;65169769;01/12/2022;13/04/2023;0608558-11.2022.6.26.0000;SP;26;SP;2;02/02/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Recurso Ordinário;Externo;0;3;31/mar/23;
03/12/2023;05:05:43;2022;Processo;65109668;01/12/2022;13/04/2023;0608558-11.2022.6.26.0000;SP;26;SP;2;02/02/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Impugnação;Interno;0;3;31/mar/23;
03/12/2023;05:05:43;2022;Processo;64313483;06/09/2022;10/10/2022;0604295-33.2022.6.26.0000;SP;26;SP;2;06/09/2022;;;48;Gabinete do Juiz Auxiliar III;58;Juiz Auxiliar da Propaganda;12625;DR;DIREITO DE RESPOSTA;12635;Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa;Recurso;Interno;0;6;14-SEP-22;
03/12/2023;05:05:43;2022;Processo;65192475;12/09/2022;09/05/2023;0605927-94.2022.6.26.0000;SP;26;SP;2;12/09/2022;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Recurso;Interno;0;4;02-MAY-23;
03/12/2023;05:05:43;2022;Processo;65023331;12/09/2022;09/05/2023;0605927-94.2022.6.26.0000;SP;26;SP;2;12/09/2022;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Embargos de Declaração;Interno;0;4;02-MAY-23;
03/12/2023;05:05:43;2022;Processo;64978404;29/09/2022;;0608121-67.2022.6.26.0000;SP;26;SP;2;08/02/2023;;;8;Gabinete do Jurista II;13;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Embargos de Declaração;Interno;0;3;16-DEC-22;
